Ep	angle	diff/ruth	diff	diff_ruth
7.77	20.34	6.79E-01	6.00E+03	8836.728933
7.77	25.87	6.39E-01	2.19E+03	3421.05125
7.77	30.46	6.84E-01	1.23E+03	1803.63978
7.77	35.77	8.03E-01	7.75E+02	965.58752
7.77	41.46	9.87E-01	5.40E+02	547.1594929
7.77	46.1	1.06E+00	3.86E+02	365.4888174
7.77	51.44	1.11E+00	2.69E+02	242.1586614
7.77	55.91	1.08E+00	1.93E+02	177.8625491
7.77	61.24	1.01E+00	1.29E+02	127.6191393
7.77	69.32	8.47E-01	6.95E+01	82.11145636
7.77	76.13	5.33E-01	3.17E+01	59.43821934
7.77	84.14	3.14E-01	1.34E+01	42.61430532
7.77	92.01	1.96E-01	6.30E+00	32.06789705
7.77	99.68	2.19E-01	5.52E+00	25.17789905
7.77	106.4	3.98E-01	8.31E+00	20.89324272
7.77	121.3	1.02E+00	1.51E+01	14.87992978
7.77	128.7	1.31E+00	1.71E+01	13.00698953
7.77	136.2	1.60E+00	1.86E+01	11.58958466
7.77	143.2	1.82E+00	1.93E+01	10.59535114
7.77	150.2	1.99E+00	1.96E+01	9.848464836
7.77	157.9	2.09E+00	1.93E+01	9.256829829
7.77	166	2.32E+00	2.06E+01	8.850144968
9.36	20.74	6.29E-01	3.54E+03	5637.852977
9.36	26.13	6.69E-01	1.52E+03	2266.6117
9.36	31.24	7.59E-01	8.55E+02	1126.112895
9.36	35.86	8.32E-01	5.48E+02	658.960953
9.36	41.37	9.73E-01	3.70E+02	380.2012745
9.36	46.01	1.05E+00	2.66E+02	253.7315191
9.36	51.18	1.10E+00	1.88E+02	170.0578766
9.36	55.63	9.84E-01	1.23E+02	124.8523846
9.36	61.65	9.41E-01	8.08E+01	85.85140056
9.36	69.03	7.53E-01	4.32E+01	57.42088944
9.36	76.37	5.06E-01	2.05E+01	40.52473188
9.36	84.22	3.07E-01	8.99E+00	29.27541586
9.36	90.91	2.19E-01	5.03E+00	22.94125496
9.36	99.01	3.44E-01	6.08E+00	17.69831977
9.36	106.1	6.31E-01	9.15E+00	14.51134831
9.36	113.5	9.45E-01	1.14E+01	12.1010745
9.36	121.6	1.23E+00	1.26E+01	10.19393017
9.36	128.1	1.43E+00	1.29E+01	9.054495247
9.36	136.6	1.44E+00	1.14E+01	7.942053796
9.36	143.7	1.29E+00	9.40E+00	7.259430579
9.36	150.2	1.08E+00	7.35E+00	6.786703543
9.36	165.6	7.49E-01	4.58E+00	6.109364311
10.5	20.81	5.18E-01	2.29E+03	4420.768807
10.5	25.38	6.08E-01	1.23E+03	2019.699252
10.5	31.32	6.52E-01	5.78E+02	885.9781693
10.5	36.99	7.87E-01	3.66E+02	464.4767979
10.5	41.79	8.33E-01	2.42E+02	290.6807153
10.5	46.24	8.05E-01	1.59E+02	197.8600463
10.5	50.88	8.04E-01	1.11E+02	138.1332962
10.5	55.68	7.53E-01	7.45E+01	98.8858069
10.5	61.72	7.73E-01	5.26E+01	67.94278323
10.5	69.11	6.47E-01	2.94E+01	45.44443594
10.5	76.46	4.46E-01	1.43E+01	32.0745006
10.5	84.62	2.35E-01	5.38E+00	22.90819958
10.5	91.47	1.60E-01	2.86E+00	17.88443812
10.5	98.82	4.09E-01	5.78E+00	14.14389054
10.5	105.6	7.74E-01	9.04E+00	11.68445048
10.5	114	1.23E+00	1.17E+01	9.507165503
10.5	128.4	1.44E+00	1.03E+01	7.158655164
10.5	136.5	1.28E+00	8.08E+00	6.31989655
10.5	143.3	1.03E+00	5.96E+00	5.795290768
10.5	150.7	7.53E-01	4.04E+00	5.368251138
10.5	159.4	5.87E-01	2.95E+00	5.019254747
10.5	165.5	5.29E-01	2.57E+00	4.856923991
14.1	21.04	6.07E-01	1.42E+03	2347.233314
14.1	26.44	6.56E-01	6.25E+02	953.5929375
14.1	31.19	6.66E-01	3.33E+02	499.3543494
14.1	36.29	6.51E-01	1.81E+02	277.3033025
14.1	42.29	6.74E-01	1.04E+02	154.0390035
14.1	46.42	7.23E-01	7.81E+01	108.1237394
14.1	51.45	8.81E-01	6.47E+01	73.48338263
14.1	55.97	1.08E+00	5.83E+01	53.79915843
14.1	61.19	1.32E+00	5.12E+01	38.86878154
14.1	76.56	5.94E-01	1.05E+01	17.70833043
14.1	84.62	2.00E-01	2.54E+00	12.70373223
14.1	98.91	1.08E+00	8.44E+00	7.822421062
14.1	106.7	1.81E+00	1.14E+01	6.295303246
14.1	121	1.99E+00	9.05E+00	4.545377238
14.1	128.7	1.44E+00	5.69E+00	3.949849998
14.1	136.3	1.02E+00	3.57E+00	3.514495852
14.1	142.9	8.27E-01	2.67E+00	3.228781634
14.1	150.7	1.06E+00	3.15E+00	2.97696136
14.1	157.9	1.60E+00	4.50E+00	2.81103396
14.1	165	2.06E+00	5.55E+00	2.699496517
