
========== 1 0 0 3
0 0 -1 6
amplitude  122.666 0 291
mean       0.0224463 -0.2 2
sigma      0.238428 0 0.6
y-itercept 19.8959 0 1226.66
slope      -2.8361 -24.5332 0
q-Boundary -1.76442 -2.65 -1.65
========== 1 1 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 2 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 3 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 4 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 5 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 6 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 7 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 8 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 9 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 10 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 11 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 12 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 13 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 14 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 15 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 16 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 17 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 18 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 19 0 -1
0 0 -1 6
amplitude  100 0 1000
mean       0.1 -0.8 0.8
sigma      0.2 0.1 0.3
y-itercept 10 0 1000
slope      -1 -200 0
q-Boundary -1 -1 0.5
========== 1 20 0 3
0 0 -1 6
amplitude  102.472 0 109
mean       -0.049703 -0.2 2
sigma      0.244354 0 0.6
y-itercept 5.49223 0 1090
slope      -1.24784 -21.8 0
q-Boundary -0.700014 -1.2 -0.2
========== 1 21 0 3
0 0 -1 6
amplitude  46.7602 0 59
mean       0.0305177 -0.2 2
sigma      0.23954 0 0.6
y-itercept 5.55341 0 590
slope      -1.28287 -11.8 0
q-Boundary -1.00663 -1.65 -0.65
========== 1 22 0 3
0 0 -1 6
amplitude  74.9068 0 95
mean       -0.0251873 -0.2 2
sigma      0.272687 0 0.6
y-itercept 15.8096 0 950
slope      -3.63054 -19 0
