
========== 1 0 0.6 3
0 0 -4 6
amplitude  160.156 0 274
mean       0.085268 -0.2 2
sigma      0.338809 0 0.6
y-itercept 84.8755 0 2740
slope      -19.2173 -54.8 0
q-Boundary -2.4502 -3.45 -2.45
========== 1 20 0.6 3
0 0 -4 6
amplitude  35.5584 0 54
mean       -0.2 -0.2 2
sigma      0.400775 0 0.6
y-itercept 11.704 0 540
slope      -2.93115 -10.8 0
q-Boundary -1.30002 -1.8 -0.8
========== 1 21 0.6 3
0 0 -4 6
amplitude  52.2977 0 102
mean       -0.119407 -0.2 2
sigma      0.314847 0 0.6
y-itercept 36.7298 0 1020
slope      -8.21889 -20.4 0
q-Boundary -1.67036 -2.2 -1.2
========== 1 22 0.6 3
0 0 -4 6
amplitude  65.646 0 108
mean       0.0188214 -0.2 2
sigma      0.223509 0 0.6
y-itercept 38.0505 0 1080
slope      -8.17391 -21.6 0
q-Boundary -2.07208 -2.6 -1.6
========== 1 23 0.6 3
0 0 -4 6
amplitude  47.765 0 89
mean       0.128963 -0.2 2
sigma      0.218412 0 0.6
y-itercept 43.6997 0 890
slope      -10.2796 -17.8 0
q-Boundary -2.45818 -3 -2
========== 1 24 0.6 3
0 0 -4 6
amplitude  92.7811 0 128
mean       0.152284 -0.2 2
sigma      0.298561 0 0.6
y-itercept 35.6223 0 1280
slope      -8.42595 -25.6 0
q-Boundary -2.66053 -3.2 -2.2
========== 1 25 0.6 3
0 0 -4 6
amplitude  65.4131 0 95
mean       0.294762 -0.2 2
sigma      0.15096 0 0.6
y-itercept 32.3419 0 950
slope      -8.15067 -19 0
q-Boundary -2.86047 -3.4 -2.4

========== 2 0 0.6 3
0 0 -4 6
amplitude  173.388 0 262
mean       0.0712294 -0.2 2
sigma      0.34474 0 0.6
y-itercept 81.3003 0 2620
slope      -18.3115 -52.4 0
q-Boundary -2.45159 -3.45 -2.45
========== 2 20 0.6 3
0 0 -4 6
amplitude  31.3281 0 55
mean       -0.2 -0.2 2
sigma      0.436679 0 0.6
y-itercept 14.7119 0 550
slope      -3.6818 -11 0
q-Boundary -1.4697 -2 -1
========== 2 21 0.6 3
0 0 -4 6
amplitude  59.0764 0 100
mean       -0.0680807 -0.2 2
sigma      0.245556 0 0.6
y-itercept 37.4767 0 1000
slope      -8.25273 -20 0
q-Boundary -1.67148 -2.2 -1.2
========== 2 22 0.6 3
0 0 -4 6
amplitude  73.9119 0 110
mean       0.034272 -0.2 2
sigma      0.244654 0 0.6
y-itercept 38.6325 0 1100
slope      -8.47419 -22 0
q-Boundary -1.97259 -2.6 -1.6
========== 2 23 0.6 3
0 0 -4 6
amplitude  56.1423 0 96
mean       0.138922 -0.2 2
sigma      0.228018 0 0.6
y-itercept 42.0476 0 960
slope      -9.83386 -19.2 0
q-Boundary -2.30004 -2.8 -1.8
========== 2 24 0.6 3
0 0 -4 6
amplitude  105.15 0 145
mean       0.218178 -0.2 2
sigma      0.269929 0 0.6
y-itercept 33.8024 0 1450
slope      -8.04694 -29 0
q-Boundary -2.66877 -3.2 -2.2
========== 2 25 0.6 3
0 0 -4 6
amplitude  59.534 0 84
mean       0.235838 -0.2 2
sigma      0.181549 0 0.6
y-itercept 30.1114 0 840
slope      -7.66141 -16.8 0
q-Boundary -2.86365 -3.4 -2.4

========== 3 0 0.6 3
0 0 -4 6
amplitude  132.783 0 238
mean       -0.151148 -0.2 2
sigma      0.6 0 0.6
y-itercept 65.1388 0 2380
slope      -14.7531 -47.6 0
q-Boundary -2.56926 -3.45 -2.45
========== 3 20 0.6 3
0 0 -4 6
amplitude  24.5537 0 50
mean       -0.2 -0.2 2
sigma      0.566192 0 0.6
y-itercept 8.09335 0 500
slope      -2.10118 -10 0
q-Boundary -1.47151 -2 -1
========== 3 21 0.6 3
0 0 -4 6
amplitude  57.2565 0 91
mean       -0.187555 -0.2 2
sigma      0.249363 0 0.6
y-itercept 35.7101 0 910
slope      -7.96565 -18.2 0
q-Boundary -1.67571 -2.2 -1.2
========== 3 22 0.6 3
0 0 -4 6
amplitude  58.8295 0 103
mean       0.0117874 -0.2 2
sigma      0.24411 0 0.6
y-itercept 41.0869 0 1030
slope      -9.14329 -20.6 0
q-Boundary -2.07079 -2.6 -1.6
========== 3 23 0.6 3
0 0 -4 6
amplitude  50.7228 0 94
mean       0.0189975 -0.2 2
sigma      0.229562 0 0.6
y-itercept 42.093 0 940
slope      -9.84274 -18.8 0
q-Boundary -2.23472 -3 -2
========== 3 24 0.6 3
0 0 -4 6
amplitude  89.1131 0 116
mean       0.122699 -0.2 2
sigma      0.277388 0 0.6
y-itercept 36.8775 0 1160
slope      -8.84455 -23.2 0
q-Boundary -2.66566 -3.2 -2.2
========== 3 25 0.6 3
0 0 -4 6
amplitude  46.0859 0 75
mean       0.147412 -0.2 2
sigma      0.168929 0 0.6
y-itercept 27.0444 0 750
slope      -7.01589 -15 0
q-Boundary -2.90005 -3.4 -2.4

========== 12 0 0.6 3
0 0 -4 6
amplitude  1299.77 0 1375
mean       0.125562 -0.2 2
sigma      0.184134 0 0.6
