Angle [deg]1	CM	Angle [deg]2	Lab (0->) 40Ar	Angle [deg]3	Lab (0<-) 40Ar	Angle [deg]4	Lab (0->)  1H	Angle [deg]5	Lab (0<-)  1H	
0.050000	6.32694e+14	0.050000	3.82542e+11	0.050000	34316.2   	0.050000	92.5505   	0.050000	92.5505   	
0.229850	1.41676e+12	0.051395	3.42682e+11	0.051395	34318.5   	0.139941	92.5512   	0.139941	92.5512   	
0.409700	1.4035e+11	0.052789	3.0788e+11	0.052789	34320.9   	0.229882	92.5526   	0.229882	92.5526   	
0.589550	3.2734e+10	0.054184	2.77387e+11	0.054184	34323.3   	0.319823	92.5547   	0.319823	92.5547   	
0.769400	1.12844e+10	0.055578	2.50577e+11	0.055578	34325.8   	0.409764	92.5575   	0.409764	92.5575   	
0.949250	4.87047e+09	0.056973	2.2693e+11	0.056973	34328.4   	0.499705	92.5609   	0.499705	92.5609   	
1.129100	2.43317e+09	0.058367	2.06007e+11	0.058367	34331.1   	0.589646	92.5651   	0.589646	92.5651   	
1.308950	1.34716e+09	0.059762	1.87441e+11	0.059762	34333.8   	0.679587	92.5699   	0.679587	92.5699   	
1.488800	8.04965e+08	0.061156	1.7092e+11	0.061156	34336.6   	0.769528	92.5754   	0.769528	92.5754   	
1.668650	5.10122e+08	0.062551	1.5618e+11	0.062551	34339.4   	0.859469	92.5816   	0.859469	92.5816   	
1.848500	3.38744e+08	0.063945	1.42995e+11	0.063945	34342.3   	0.949410	92.5885   	0.949410	92.5885   	
2.028350	2.33665e+08	0.065340	1.31173e+11	0.065340	34345.3   	1.039351	92.5961   	1.039351	92.5961   	
2.208200	1.66352e+08	0.066734	1.20547e+11	0.066734	34348.4   	1.129292	92.6043   	1.129292	92.6043   	
2.388050	1.21626e+08	0.068129	1.10976e+11	0.068129	34351.5   	1.219233	92.6133   	1.219233	92.6133   	
2.567900	9.09718e+07	0.069524	1.02337e+11	0.069524	34354.6   	1.309174	92.6229   	1.309174	92.6229   	
2.747750	6.93955e+07	0.070918	9.45213e+10	0.070918	34357.9   	1.399115	92.6332   	1.399115	92.6332   	
2.927600	5.38537e+07	0.072313	8.74383e+10	0.072313	34361.2   	1.489056	92.6442   	1.489056	92.6442   	
3.107450	4.24297e+07	0.073707	8.10064e+10	0.073707	34364.5   	1.578997	92.6559   	1.578997	92.6559   	
3.287300	3.38809e+07	0.075102	7.51551e+10	0.075102	34367.9   	1.668938	92.6683   	1.668938	92.6683   	
3.467150	2.73809e+07	0.076496	6.98229e+10	0.076496	34371.4   	1.758879	92.6813   	1.758879	92.6813   	
3.647000	2.23678e+07	0.077891	6.49552e+10	0.077891	34375     	1.848820	92.6951   	1.848820	92.6951   	
3.826850	1.84515e+07	0.079285	6.05044e+10	0.079285	34378.6   	1.938761	92.7095   	1.938761	92.7095   	
4.006700	1.53561e+07	0.080680	5.64284e+10	0.080680	34382.3   	2.028702	92.7246   	2.028702	92.7246   	
4.186550	1.28835e+07	0.082074	5.26899e+10	0.082074	34386.1   	2.118643	92.7404   	2.118643	92.7404   	
4.366400	1.08893e+07	0.083469	4.92559e+10	0.083469	34389.8   	2.208584	92.7569   	2.208584	92.7569   	
4.546250	9.26651e+06	0.084864	4.60972e+10	0.084864	34393.7   	2.298525	92.7741   	2.298525	92.7741   	
4.726100	7.93514e+06	0.086258	4.31877e+10	0.086258	34397.7   	2.388466	92.792    	2.388466	92.792    	
4.905950	6.83458e+06	0.087653	4.05042e+10	0.087653	34401.7   	2.478407	92.8106   	2.478407	92.8106   	
5.085800	5.91844e+06	0.089047	3.80259e+10	0.089047	34405.8   	2.568348	92.8298   	2.568348	92.8298   	
5.265650	5.15083e+06	0.090442	3.57343e+10	0.090442	34409.9   	2.658289	92.8498   	2.658289	92.8498   	
5.445500	4.50377e+06	0.091836	3.36127e+10	0.091836	34414.1   	2.748230	92.8704   	2.748230	92.8704   	
5.625350	3.95524e+06	0.093231	3.16462e+10	0.093231	34418.4   	2.838171	92.8918   	2.838171	92.8918   	
5.805200	3.48777e+06	0.094625	2.98216e+10	0.094625	34422.7   	2.928112	92.9138   	2.928112	92.9138   	
5.985050	3.0874e+06	0.096020	2.81265e+10	0.096020	34427.2   	3.018053	92.9365   	3.018053	92.9365   	
6.164900	2.74289e+06	0.097414	2.65501e+10	0.097414	34431.6   	3.107994	92.96     	3.107994	92.96     	
6.344750	2.44514e+06	0.098809	2.50827e+10	0.098809	34436.2   	3.197935	92.9841   	3.197935	92.9841   	
6.524600	2.18674e+06	0.100203	2.37153e+10	0.100203	34440.8   	3.287876	93.0089   	3.287876	93.0089   	
6.704450	1.96161e+06	0.101598	2.24398e+10	0.101598	34445.4   	3.377817	93.0344   	3.377817	93.0344   	
6.884300	1.76474e+06	0.102993	2.12489e+10	0.102993	34450.1   	3.467758	93.0606   	3.467758	93.0606   	
7.064150	1.59197e+06	0.104387	2.0136e+10	0.104387	34455     	3.557699	93.0875   	3.557699	93.0875   	
7.244000	1.43985e+06	0.105782	1.90949e+10	0.105782	34459.8   	3.647640	93.1151   	3.647640	93.1151   	
7.423850	1.30549e+06	0.107176	1.81204e+10	0.107176	34464.7   	3.737581	93.1434   	3.737581	93.1434   	
7.603700	1.18645e+06	0.108571	1.72072e+10	0.108571	34469.7   	3.827522	93.1724   	3.827522	93.1724   	
7.783550	1.08068e+06	0.109965	1.63508e+10	0.109965	34474.8   	3.917463	93.2021   	3.917463	93.2021   	
7.963400	986457    	0.111360	1.5547e+10	0.111360	34479.9   	4.007404	93.2326   	4.007404	93.2326   	
8.143250	902288    	0.112754	1.4792e+10	0.112754	34485.1   	4.097345	93.2637   	4.097345	93.2637   	
