# det side strip channel_type expected entries status
1 0 0 single 1 110 found
1 0 1 single 1 203 found
1 0 2 single 1 163 found
1 0 3 single 1 143 found
1 0 4 single 1 172 found
1 0 5 single 1 167 found
1 0 6 single 1 223 found
1 0 7 single 1 174 found
1 0 8 single 1 215 found
1 0 9 single 1 225 found
1 0 10 single 1 150 found
1 0 11 single 1 208 found
1 0 12 single 1 221 found
1 0 13 single 1 212 found
1 0 14 single 1 217 found
1 0 15 single 1 179 found
1 0 16 single 1 169 found
1 0 17 single 1 202 found
1 0 18 single 1 199 found
1 0 19 single 1 186 found
1 0 20 single 1 183 found
1 0 21 single 1 197 found
1 0 22 single 1 192 found
1 0 23 single 1 144 found
1 0 24 single 1 88 found
1 0 25 single 1 146 found
1 0 26 single 1 117 found
1 0 27 single 1 87 found
1 0 28 single 1 137 found
1 0 29 single 1 116 found
1 0 30 single 1 145 found
1 0 31 single 1 86 found
1 1 0 single 1 1184 found
1 1 1 single 1 1212 found
1 1 2 single 1 1768 found
1 1 3 single 1 1030 found
2 0 0 single 1 247 found
2 0 1 single 1 252 found
2 0 2 single 1 297 found
2 0 3 single 1 291 found
2 0 4 single 1 316 found
2 0 5 single 1 205 found
2 0 6 single 1 300 found
2 0 7 single 1 323 found
2 0 8 single 1 321 found
2 0 9 single 1 286 found
2 0 10 single 1 272 found
2 0 11 single 1 249 found
2 0 12 single 1 267 found
2 0 13 single 1 267 found
2 0 14 single 1 319 found
2 0 15 single 1 305 found
2 0 16 single 1 296 found
2 0 17 single 1 324 found
2 0 18 single 1 318 found
2 0 19 single 1 284 found
2 0 20 single 1 264 found
2 0 21 single 1 271 found
2 0 22 single 1 259 found
2 0 23 single 1 254 found
2 0 24 single 1 268 found
2 0 25 single 1 208 found
2 0 26 single 1 241 found
2 0 27 single 1 195 found
2 0 28 single 1 204 found
2 0 29 single 1 210 found
2 0 30 single 1 177 found
2 0 31 single 1 158 found
2 1 0 single 1 2151 found
2 1 1 single 1 2566 found
2 1 2 single 1 2173 found
2 1 3 single 1 1303 found
3 0 0 single 1 0 missing
3 0 1 single 1 0 missing
3 0 2 single 1 0 missing
3 0 3 single 1 0 missing
3 0 4 single 1 0 missing
3 0 5 single 1 0 missing
