det_group	det_idx	det_type	det_number	ring_number	ring_type	ring_radius	ring_z	det_r	det_z	phi_number	mg	slot	zap	pin	asad	cobo
0	0	X6	14	16	16	140.5000	87.2500	0	0	3	7	A	2	PIN3	3	0
0	1	X6	27	16	16	140.5000	87.2500	0	0	2	7	B	2	PIN3	3	0
0	2	X6	19	16	16	140.5000	87.2500	0	0	1	7	C	2	PIN3	3	0
0	3	X6	21	16	16	140.5000	87.2500	0	0	0	7	D	2	PIN3	3	0
0	4	X6	45	16	16	140.5000	87.2500	0	0	15	8	A	2	PIN2	3	0
0	5	X6	44	16	16	140.5000	87.2500	0	0	14	8	B	2	PIN2	3	0
0	6	X6	9	16	16	140.5000	87.2500	0	0	13	8	C	2	PIN2	3	0
0	7	X6	10	16	16	140.5000	87.2500	0	0	12	8	D	2	PIN2	3	0
1	8	X6	5	12	12dE	91.7000	129.2500	0	0	1	5	A	2	PIN1	3	0
1	9	X6	17	12	12dE	91.7000	129.2500	0	0	0	5	B	2	PIN1	3	0
1	10	X6	16	12	12dE	91.7000	129.2500	0	0	11	5	C	2	PIN1	3	0
1	11	X6	35	12	12dE	91.7000	129.2500	0	0	10	5	D	2	PIN1	3	0
1	12	X6	60	12	12E	109.2000	137.2500	0	0	1	2	A	4	PIN1	2	0
1	13	X6	37	12	12E	109.2000	137.2500	0	0	0	2	B	4	PIN1	2	0
1	14	X6	139	12	12E	109.2000	137.2500	0	0	11	2	C	4	PIN1	2	0
1	15	X6	46	12	12E	109.2000	137.2500	0	0	10	2	D	4	PIN1	2	0
2	16	X6	15	16	16	140.5000	87.2500	0	0	3	6	A	1	PIN3	1	0
2	17	X6	29	16	16	140.5000	87.2500	0	0	4	6	B	1	PIN3	1	0
2	18	X6	22	16	16	140.5000	87.2500	0	0	5	6	C	1	PIN3	1	0
2	19	X6	23	16	16	140.5000	87.2500	0	0	6	6	D	1	PIN3	1	0
2	20	X6	18	16	16	140.5000	87.2500	0	0	7	3	A	1	PIN2	1	0
2	21	X6	20	16	16	140.5000	87.2500	0	0	8	3	B	1	PIN2	1	0
2	22	X6	11	16	16	140.5000	87.2500	0	0	9	3	C	1	PIN2	1	0
2	23	X6	38	12	12E	109.2000	137.2500	0	0	8	3	D	1	PIN2	1	0
3	24	X6	141	12	12E	109.2000	137.2500	0	0	3	1	A	3	PIN3	0	0
3	25	X6	30	12	12dE	91.7000	129.2500	0	0	3	1	B	3	PIN3	0	0
3	26	X6	33	12	12dE	91.7000	129.2500	0	0	8	1	C	3	PIN3	0	0
3	27	X6	26	16	16	140.5000	87.2500	0	0	10	1	D	3	PIN3	0	0
3	28	X6	50	12	12E	109.2000	137.2500	0	0	2	4	A	4	PIN3	2	0
3	29	X6	39	12	12dE	91.7000	129.2500	0	0	2	4	B	4	PIN3	2	0
3	30	X6	48	12	12dE	91.7000	129.2500	0	0	9	4	C	4	PIN3	2	0
3	31	X6	142	12	12E	109.2000	137.2500	0	0	9	4	D	4	PIN3	2	0
4	32	QQQ5	4	4	Q	110.0000	156.2000	0	0	0	2	A	3	PIN2	0	0
4	33	QQQ5	2	4	Q	110.0000	156.2000	0	0	1	2	B	3	PIN2	0	0
4	34	QQQ5	3	4	Q	110.0000	156.2000	0	0	2	1	A	3	PIN1	0	0
4	35	QQQ5	1	4	Q	110.0000	156.2000	0	0	3	1	B	3	PIN1	0	0
5	36	X6	40	12	12E	109.2000	137.2500	0	0	4	9	A	4	PIN2	2	0
5	37	X6	31	12	12E	109.2000	137.2500	0	0	5	9	B	4	PIN2	2	0
5	38	X6	34	12	12E	109.2000	137.2500	0	0	6	9	C	4	PIN2	2	0
5	39	X6	43	12	12E	109.2000	137.2500	0	0	7	9	D	4	PIN2	2	0
5	40	X6	49	12	12dE	91.7000	129.2500	0	0	7	10	A	1	PIN1	1	0
5	41	X6	42	12	12dE	91.7000	129.2500	0	0	6	10	B	1	PIN1	1	0
5	42	X6	41	12	12dE	91.7000	129.2500	0	0	5	10	C	1	PIN1	1	0
5	43	X6	8	12	12dE	91.7000	129.2500	0	0	4	10	D	1	PIN1	1	0
