channel mapping
ch_idx	cobo	asad	aget	ch	det_idx	phi_number	side	strip
0	0	3	3	0	0	0	1	1
1	0	3	3	1	0	0	1	2
2	0	3	3	2	0	0	1	3
3	0	3	3	3	0	0	1	4
4	0	3	3	4	0	0	1	5
5	0	3	3	5	0	0	1	6
6	0	3	3	6	0	0	1	7
7	0	3	3	7	0	0	1	8
8	0	3	3	8	0	0	1	9
9	0	3	3	9	0	0	1	10
10	0	3	3	10	0	0	1	11
11	0	3	3	12	0	0	1	12
12	0	3	3	13	0	0	1	13
13	0	3	3	14	0	0	1	14
14	0	3	3	15	0	0	1	15
15	0	3	3	16	0	0	1	16
16	0	3	0	34	0	0	0	1
17	0	3	0	35	0	0	0	2
18	0	3	0	36	0	0	0	3
19	0	3	0	37	0	0	0	4
20	0	3	3	17	1	1	1	1
21	0	3	3	18	1	1	1	2
22	0	3	3	19	1	1	1	3
23	0	3	3	20	1	1	1	4
24	0	3	3	21	1	1	1	5
25	0	3	3	23	1	1	1	6
26	0	3	3	24	1	1	1	7
27	0	3	3	25	1	1	1	8
28	0	3	3	26	1	1	1	9
29	0	3	3	27	1	1	1	10
30	0	3	3	28	1	1	1	11
31	0	3	3	29	1	1	1	12
32	0	3	3	30	1	1	1	13
33	0	3	3	31	1	1	1	14
34	0	3	3	32	1	1	1	15
35	0	3	3	33	1	1	1	16
36	0	3	0	38	1	1	0	1
37	0	3	0	39	1	1	0	2
38	0	3	0	40	1	1	0	3
39	0	3	0	41	1	1	0	4
40	0	3	3	34	2	2	1	1
41	0	3	3	35	2	2	1	2
42	0	3	3	36	2	2	1	3
43	0	3	3	37	2	2	1	4
44	0	3	3	38	2	2	1	5
45	0	3	3	39	2	2	1	6
46	0	3	3	40	2	2	1	7
47	0	3	3	41	2	2	1	8
48	0	3	3	42	2	2	1	9
49	0	3	3	43	2	2	1	10
50	0	3	3	44	2	2	1	11
51	0	3	3	46	2	2	1	12
52	0	3	3	47	2	2	1	13
53	0	3	3	48	2	2	1	14
54	0	3	3	49	2	2	1	15
55	0	3	3	50	2	2	1	16
56	0	3	0	42	2	2	0	1
57	0	3	0	43	2	2	0	2
58	0	3	0	44	2	2	0	3
59	0	3	0	46	2	2	0	4
60	0	3	3	51	3	3	1	1
61	0	3	3	52	3	3	1	2
62	0	3	3	53	3	3	1	3
63	0	3	3	54	3	3	1	4
64	0	3	3	55	3	3	1	5
65	0	3	3	57	3	3	1	6
66	0	3	3	58	3	3	1	7
67	0	3	3	59	3	3	1	8
68	0	3	3	60	3	3	1	9
69	0	3	3	61	3	3	1	10
70	0	3	3	62	3	3	1	11
71	0	3	3	63	3	3	1	12
72	0	3	3	64	3	3	1	13
73	0	3	3	65	3	3	1	14
74	0	3	3	66	3	3	1	15
75	0	3	3	67	3	3	1	16
76	0	3	0	47	3	3	0	1
77	0	3	0	48	3	3	0	2
78	0	3	0	49	3	3	0	3
79	0	3	0	50	3	3	0	4
80	0	3	2	0	4	4	1	1
81	0	3	2	1	4	4	1	2
82	0	3	2	2	4	4	1	3
83	0	3	2	3	4	4	1	4
84	0	3	2	4	4	4	1	5
85	0	3	2	5	4	4	1	6
86	0	3	2	6	4	4	1	7
87	0	3	2	7	4	4	1	8
88	0	3	2	8	4	4	1	9
89	0	3	2	9	4	4	1	10
90	0	3	2	10	4	4	1	11
91	0	3	2	12	4	4	1	12
92	0	3	2	13	4	4	1	13
93	0	3	2	14	4	4	1	14
94	0	3	2	15	4	4	1	15
95	0	3	2	16	4	4	1	16
96	0	3	0	17	4	4	0	1
97	0	3	0	18	4	4	0	2
98	0	3	0	19	4	4	0	3
99	0	3	0	20	4	4	0	4
100	0	3	2	17	5	5	1	1
101	0	3	2	18	5	5	1	2
102	0	3	2	19	5	5	1	3
103	0	3	2	20	5	5	1	4
104	0	3	2	21	5	5	1	5
105	0	3	2	23	5	5	1	6
106	0	3	2	24	5	5	1	7
107	0	3	2	25	5	5	1	8
108	0	3	2	26	5	5	1	9
109	0	3	2	27	5	5	1	10
110	0	3	2	28	5	5	1	11
111	0	3	2	29	5	5	1	12
112	0	3	2	30	5	5	1	13
113	0	3	2	31	5	5	1	14
114	0	3	2	32	5	5	1	15
115	0	3	2	33	5	5	1	16
116	0	3	0	21	5	5	0	1
117	0	3	0	23	5	5	0	2
118	0	3	0	24	5	5	0	3
119	0	3	0	25	5	5	0	4
120	0	3	2	34	6	6	1	1
121	0	3	2	35	6	6	1	2
122	0	3	2	36	6	6	1	3
123	0	3	2	37	6	6	1	4
124	0	3	2	38	6	6	1	5
125	0	3	2	39	6	6	1	6
126	0	3	2	40	6	6	1	7
127	0	3	2	41	6	6	1	8
128	0	3	2	42	6	6	1	9
129	0	3	2	43	6	6	1	10
130	0	3	2	44	6	6	1	11
131	0	3	2	46	6	6	1	12
132	0	3	2	47	6	6	1	13
133	0	3	2	48	6	6	1	14
134	0	3	2	49	6	6	1	15
135	0	3	2	50	6	6	1	16
136	0	3	0	26	6	6	0	1
137	0	3	0	27	6	6	0	2
138	0	3	0	28	6	6	0	3
139	0	3	0	29	6	6	0	4
140	0	3	2	51	7	7	1	1
141	0	3	2	52	7	7	1	2
142	0	3	2	53	7	7	1	3
143	0	3	2	54	7	7	1	4
144	0	3	2	55	7	7	1	5
145	0	3	2	57	7	7	1	6
146	0	3	2	58	7	7	1	7
147	0	3	2	59	7	7	1	8
148	0	3	2	60	7	7	1	9
149	0	3	2	61	7	7	1	10
150	0	3	2	62	7	7	1	11
151	0	3	2	63	7	7	1	12
152	0	3	2	64	7	7	1	13
153	0	3	2	65	7	7	1	14
154	0	3	2	66	7	7	1	15
155	0	3	2	67	7	7	1	16
156	0	3	0	30	7	7	0	1
157	0	3	0	31	7	7	0	2
158	0	3	0	32	7	7	0	3
159	0	3	0	33	7	7	0	4
160	0	3	1	0	8	0	1	1
161	0	3	1	1	8	0	1	2
162	0	3	1	2	8	0	1	3
163	0	3	1	3	8	0	1	4
164	0	3	1	4	8	0	1	5
165	0	3	1	5	8	0	1	6
166	0	3	1	6	8	0	1	7
167	0	3	1	7	8	0	1	8
168	0	3	1	8	8	0	1	9
169	0	3	1	9	8	0	1	10
170	0	3	1	10	8	0	1	11
171	0	3	1	12	8	0	1	12
172	0	3	1	13	8	0	1	13
173	0	3	1	14	8	0	1	14
174	0	3	1	15	8	0	1	15
175	0	3	1	16	8	0	1	16
176	0	3	0	0	8	0	0	1
177	0	3	0	1	8	0	0	2
178	0	3	0	2	8	0	0	3
179	0	3	0	3	8	0	0	4
180	0	3	1	17	9	1	1	1
181	0	3	1	18	9	1	1	2
182	0	3	1	19	9	1	1	3
183	0	3	1	20	9	1	1	4
184	0	3	1	21	9	1	1	5
185	0	3	1	23	9	1	1	6
186	0	3	1	24	9	1	1	7
187	0	3	1	25	9	1	1	8
188	0	3	1	26	9	1	1	9
189	0	3	1	27	9	1	1	10
190	0	3	1	28	9	1	1	11
191	0	3	1	29	9	1	1	12
192	0	3	1	30	9	1	1	13
193	0	3	1	31	9	1	1	14
194	0	3	1	32	9	1	1	15
195	0	3	1	33	9	1	1	16
196	0	3	0	4	9	1	0	1
197	0	3	0	5	9	1	0	2
198	0	3	0	6	9	1	0	3
199	0	3	0	7	9	1	0	4
200	0	3	1	34	10	2	1	1
201	0	3	1	35	10	2	1	2
202	0	3	1	36	10	2	1	3
203	0	3	1	37	10	2	1	4
204	0	3	1	38	10	2	1	5
205	0	3	1	39	10	2	1	6
206	0	3	1	40	10	2	1	7
207	0	3	1	41	10	2	1	8
208	0	3	1	42	10	2	1	9
209	0	3	1	43	10	2	1	10
210	0	3	1	44	10	2	1	11
211	0	3	1	46	10	2	1	12
212	0	3	1	47	10	2	1	13
213	0	3	1	48	10	2	1	14
214	0	3	1	49	10	2	1	15
215	0	3	1	50	10	2	1	16
216	0	3	0	8	10	2	0	1
217	0	3	0	9	10	2	0	2
218	0	3	0	10	10	2	0	3
219	0	3	0	12	10	2	0	4
220	0	3	1	51	11	3	1	1
221	0	3	1	52	11	3	1	2
222	0	3	1	53	11	3	1	3
223	0	3	1	54	11	3	1	4
224	0	3	1	55	11	3	1	5
225	0	3	1	57	11	3	1	6
226	0	3	1	58	11	3	1	7
227	0	3	1	59	11	3	1	8
228	0	3	1	60	11	3	1	9
229	0	3	1	61	11	3	1	10
230	0	3	1	62	11	3	1	11
231	0	3	1	63	11	3	1	12
232	0	3	1	64	11	3	1	13
233	0	3	1	65	11	3	1	14
234	0	3	1	66	11	3	1	15
235	0	3	1	67	11	3	1	16
236	0	3	0	13	11	3	0	1
237	0	3	0	14	11	3	0	2
238	0	3	0	15	11	3	0	3
239	0	3	0	16	11	3	0	4
240	0	2	1	0	12	4	1	1
241	0	2	1	1	12	4	1	2
242	0	2	1	2	12	4	1	3
243	0	2	1	3	12	4	1	4
244	0	2	1	4	12	4	1	5
245	0	2	1	5	12	4	1	6
246	0	2	1	6	12	4	1	7
247	0	2	1	7	12	4	1	8
248	0	2	1	8	12	4	1	9
249	0	2	1	9	12	4	1	10
250	0	2	1	10	12	4	1	11
251	0	2	1	12	12	4	1	12
252	0	2	1	13	12	4	1	13
253	0	2	1	14	12	4	1	14
254	0	2	1	15	12	4	1	15
255	0	2	1	16	12	4	1	16
256	0	2	0	0	12	4	0	1
257	0	2	0	1	12	4	0	2
258	0	2	0	2	12	4	0	3
259	0	2	0	3	12	4	0	4
260	0	2	1	17	13	5	1	1
261	0	2	1	18	13	5	1	2
262	0	2	1	19	13	5	1	3
263	0	2	1	20	13	5	1	4
264	0	2	1	21	13	5	1	5
265	0	2	1	23	13	5	1	6
266	0	2	1	24	13	5	1	7
267	0	2	1	25	13	5	1	8
268	0	2	1	26	13	5	1	9
269	0	2	1	27	13	5	1	10
270	0	2	1	28	13	5	1	11
271	0	2	1	29	13	5	1	12
272	0	2	1	30	13	5	1	13
