detector mapping
det_type	det_idx	det_number	det_thickness	det_width	det_height	ring_number	ring_type	ring_radius	ring_z	dEE	phi_number	phi	phi1	phi2
X6	0	14	1000	40.3	75	16	16	140.5000	87.2500	E	3	67.50000000	59.33849957	75.66150043
X6	1	27	1000	40.3	75	16	16	140.5000	87.2500	E	2	45.00000000	36.83849957	53.16150043
X6	2	19	1000	40.3	75	16	16	140.5000	87.2500	E	1	22.50000000	14.33849957	30.66150043
X6	3	21	1000	40.3	75	16	16	140.5000	87.2500	E	0	11.25000000	3.08849957	19.41150043
X6	4	45	1000	40.3	75	16	16	140.5000	87.2500	E	15	-22.50000000	-30.66150043	-14.33849957
X6	5	44	1000	40.3	75	16	16	140.5000	87.2500	E	14	-45.00000000	-53.16150043	-36.83849957
X6	6	9	1000	40.3	75	16	16	140.5000	87.2500	E	13	-67.50000000	-75.66150043	-59.33849957
X6	7	10	1000	40.3	75	16	16	140.5000	87.2500	E	12	-90.00000000	-98.16150043	-81.83849957
X6	8	5	1000	40.3	75	12	12dE	91.7000	119.2500	dE	1	-15.00000000	-27.39311440	-2.60688560
X6	9	17	1000	40.3	75	12	12dE	91.7000	119.2500	dE	0	15.00000000	2.60688560	27.39311440
X6	10	16	1000	40.3	75	12	12dE	91.7000	119.2500	dE	11	-75.00000000	-87.39311440	-62.60688560
X6	11	35	1000	40.3	75	12	12dE	91.7000	119.2500	dE	10	-105.00000000	-117.39311440	-92.60688560
X6	12	60	1000	40.3	75	12	12E	109.2000	127.2500	E	1	45.00000000	34.54516492	55.45483508
X6	13	37	1000	40.3	75	12	12E	109.2000	127.2500	E	0	15.00000000	4.54516492	25.45483508
X6	14	139	1000	40.3	75	12	12E	109.2000	127.2500	E	11	-15.00000000	-25.45483508	-4.54516492
X6	15	46	1000	40.3	75	12	12E	109.2000	127.2500	E	10	-45.00000000	-55.45483508	-34.54516492
X6	16	15	1000	40.3	75	16	16	140.5000	87.2500	E	3	67.50000000	59.33849957	75.66150043
X6	17	29	1000	40.3	75	16	16	140.5000	87.2500	E	4	90.00000000	81.83849957	98.16150043
X6	18	22	1000	40.3	75	16	16	140.5000	87.2500	E	5	112.50000000	104.33849957	120.66150043
X6	19	23	1000	40.3	75	16	16	140.5000	87.2500	E	6	135.00000000	126.83849957	143.16150043
X6	20	18	1000	40.3	75	16	16	140.5000	87.2500	E	7	157.50000000	149.33849957	165.66150043
X6	21	20	1000	40.3	75	16	16	140.5000	87.2500	E	8	-180.00000000	-188.16150043	-171.83849957
X6	22	11	1000	40.3	75	16	16	140.5000	87.2500	E	9	-157.50000000	-165.66150043	-149.33849957
X6	23	38	1000	40.3	75	12	12E	109.2000	127.2500	E	8	-105.00000000	-115.45483508	-94.54516492
X6	24	141	1000	40.3	75	12	12E	109.2000	127.2500	E	3	105.00000000	94.54516492	115.45483508
X6	25	30	1000	40.3	75	12	12dE	91.7000	119.2500	dE	3	45.00000000	32.60688560	57.39311440
X6	26	33	1000	40.3	75	12	12dE	91.7000	119.2500	dE	8	-165.00000000	-177.39311440	-152.60688560
X6	27	26	1000	40.3	75	16	16	140.5000	87.2500	E	10	-135.00000000	-143.16150043	-126.83849957
X6	28	50	1000	40.3	75	12	12E	109.2000	127.2500	E	2	75.00000000	64.54516492	85.45483508
X6	29	39	1000	40.3	75	12	12dE	91.7000	119.2500	dE	2	15.00000000	2.60688560	27.39311440
X6	30	48	1000	40.3	75	12	12dE	91.7000	119.2500	dE	9	-135.00000000	-147.39311440	-122.60688560
X6	31	142	1000	40.3	75	12	12E	109.2000	127.2500	E	9	-75.00000000	-85.45483508	-64.54516492
QQQ5	32	4	1000	40.3	75	4	Q	110.0000	156.2000	E	0	0.00000000	0.00000000	0.00000000
QQQ5	33	2	1000	40.3	75	4	Q	110.0000	156.2000	E	1	0.00000000	0.00000000	0.00000000
QQQ5	34	3	1000	40.3	75	4	Q	110.0000	156.2000	E	2	0.00000000	0.00000000	0.00000000
QQQ5	35	1	1000	40.3	75	4	Q	110.0000	156.2000	E	3	0.00000000	0.00000000	0.00000000
X6	36	40	1000	40.3	75	12	12E	109.2000	127.2500	E	4	135.00000000	124.54516492	145.45483508
X6	37	31	1000	40.3	75	12	12E	109.2000	127.2500	E	5	165.00000000	154.54516492	175.45483508
X6	38	34	1000	40.3	75	12	12E	109.2000	127.2500	E	6	-165.00000000	-175.45483508	-154.54516492
X6	39	43	1000	40.3	75	12	12E	109.2000	127.2500	E	7	-135.00000000	-145.45483508	-124.54516492
X6	40	49	1000	40.3	75	12	12dE	91.7000	119.2500	dE	7	-195.00000000	-207.39311440	-182.60688560
X6	41	42	1000	40.3	75	12	12dE	91.7000	119.2500	dE	6	-225.00000000	-237.39311440	-212.60688560
X6	42	41	1000	40.3	75	12	12dE	91.7000	119.2500	dE	5	105.00000000	92.60688560	117.39311440
X6	43	8	1000	40.3	75	12	12dE	91.7000	119.2500	dE	4	75.00000000	62.60688560	87.39311440
