channel mapping
ch_idx	cobo	asad	aget	ch	det_idx	phi_number	side	strip
0	1	0	2	0	0	0	1	1
1	1	0	2	1	0	0	1	2
2	1	0	2	2	0	0	1	3
3	1	0	2	3	0	0	1	4
4	1	0	2	4	0	0	1	5
5	1	0	2	5	0	0	1	6
6	1	0	2	6	0	0	1	7
7	1	0	2	7	0	0	1	8
8	1	0	0	8	0	0	0	1
9	1	0	2	8	1	1	1	1
10	1	0	2	9	1	1	1	2
11	1	0	2	10	1	1	1	3
12	1	0	2	11	1	1	1	4
13	1	0	2	12	1	1	1	5
14	1	0	2	13	1	1	1	6
15	1	0	2	14	1	1	1	7
16	1	0	2	15	1	1	1	8
17	1	0	0	9	1	1	0	1
18	1	0	2	16	2	2	1	1
19	1	0	2	17	2	2	1	2
20	1	0	2	18	2	2	1	3
21	1	0	2	19	2	2	1	4
22	1	0	2	20	2	2	1	5
23	1	0	2	21	2	2	1	6
24	1	0	2	22	2	2	1	7
25	1	0	2	23	2	2	1	8
26	1	0	0	10	2	2	0	1
27	1	0	2	24	3	3	1	1
28	1	0	2	25	3	3	1	2
29	1	0	2	26	3	3	1	3
30	1	0	2	27	3	3	1	4
31	1	0	2	28	3	3	1	5
32	1	0	2	29	3	3	1	6
33	1	0	2	30	3	3	1	7
34	1	0	2	31	3	3	1	8
35	1	0	0	11	3	3	0	1
36	1	0	2	32	4	4	1	1
37	1	0	2	33	4	4	1	2
38	1	0	2	34	4	4	1	3
39	1	0	2	35	4	4	1	4
40	1	0	2	36	4	4	1	5
41	1	0	2	37	4	4	1	6
42	1	0	2	38	4	4	1	7
43	1	0	2	39	4	4	1	8
44	1	0	0	12	4	4	0	1
45	1	0	2	40	5	5	1	1
46	1	0	2	41	5	5	1	2
47	1	0	2	42	5	5	1	3
48	1	0	2	43	5	5	1	4
49	1	0	2	44	5	5	1	5
50	1	0	2	45	5	5	1	6
51	1	0	2	46	5	5	1	7
52	1	0	2	47	5	5	1	8
53	1	0	0	13	5	5	0	1
54	1	0	2	48	6	6	1	1
55	1	0	2	49	6	6	1	2
56	1	0	2	50	6	6	1	3
57	1	0	2	51	6	6	1	4
58	1	0	2	52	6	6	1	5
59	1	0	2	53	6	6	1	6
60	1	0	2	54	6	6	1	7
61	1	0	2	55	6	6	1	8
62	1	0	0	14	6	6	0	1
63	1	0	2	56	7	7	1	1
64	1	0	2	57	7	7	1	2
65	1	0	2	58	7	7	1	3
66	1	0	2	59	7	7	1	4
67	1	0	2	60	7	7	1	5
68	1	0	2	61	7	7	1	6
69	1	0	2	62	7	7	1	7
70	1	0	2	63	7	7	1	8
71	1	0	0	15	7	7	0	1
72	1	1	3	0	8	0	1	1
73	1	1	3	1	8	0	1	2
74	1	1	3	2	8	0	1	3
75	1	1	3	3	8	0	1	4
76	1	1	3	4	8	0	1	5
77	1	1	3	5	8	0	1	6
78	1	1	3	6	8	0	1	7
79	1	1	3	7	8	0	1	8
80	1	1	3	8	8	0	1	9
81	1	1	3	9	8	0	1	10
82	1	1	3	10	8	0	1	11
83	1	1	3	11	8	0	1	12
84	1	1	3	12	8	0	1	13
85	1	1	3	13	8	0	1	14
86	1	1	3	14	8	0	1	15
87	1	1	3	15	8	0	1	16
88	1	1	3	16	8	0	1	17
89	1	1	3	17	8	0	1	18
90	1	1	3	18	8	0	1	19
91	1	1	3	19	8	0	1	20
92	1	1	3	20	8	0	1	21
93	1	1	3	21	8	0	1	22
94	1	1	3	22	8	0	1	23
95	1	1	3	23	8	0	1	24
96	1	1	3	24	8	0	1	25
97	1	1	3	25	8	0	1	26
98	1	1	3	26	8	0	1	27
99	1	1	3	27	8	0	1	28
100	1	1	3	28	8	0	1	29
101	1	1	3	29	8	0	1	30
102	1	1	3	30	8	0	1	31
103	1	1	3	31	8	0	1	32
104	1	1	0	0	8	0	0	1
105	1	1	0	1	8	0	0	2
106	1	1	0	2	8	0	0	3
107	1	1	0	3	8	0	0	4
108	1	1	3	32	9	1	1	1
109	1	1	3	33	9	1	1	2
110	1	1	3	34	9	1	1	3
111	1	1	3	35	9	1	1	4
112	1	1	3	36	9	1	1	5
113	1	1	3	37	9	1	1	6
114	1	1	3	38	9	1	1	7
115	1	1	3	39	9	1	1	8
116	1	1	3	40	9	1	1	9
117	1	1	3	41	9	1	1	10
118	1	1	3	42	9	1	1	11
119	1	1	3	43	9	1	1	12
120	1	1	3	44	9	1	1	13
121	1	1	3	45	9	1	1	14
122	1	1	3	46	9	1	1	15
123	1	1	3	47	9	1	1	16
124	1	1	3	48	9	1	1	17
125	1	1	3	49	9	1	1	18
126	1	1	3	50	9	1	1	19
127	1	1	3	51	9	1	1	20
128	1	1	3	52	9	1	1	21
129	1	1	3	53	9	1	1	22
130	1	1	3	54	9	1	1	23
131	1	1	3	55	9	1	1	24
132	1	1	3	56	9	1	1	25
133	1	1	3	57	9	1	1	26
134	1	1	3	58	9	1	1	27
135	1	1	3	59	9	1	1	28
136	1	1	3	60	9	1	1	29
137	1	1	3	61	9	1	1	30
138	1	1	3	62	9	1	1	31
139	1	1	3	63	9	1	1	32
140	1	1	0	4	9	1	0	1
141	1	1	0	5	9	1	0	2
142	1	1	0	6	9	1	0	3
143	1	1	0	7	9	1	0	4
144	1	1	2	0	10	2	1	1
145	1	1	2	1	10	2	1	2
146	1	1	2	2	10	2	1	3
147	1	1	2	3	10	2	1	4
148	1	1	2	4	10	2	1	5
149	1	1	2	5	10	2	1	6
150	1	1	2	6	10	2	1	7
151	1	1	2	7	10	2	1	8
152	1	1	2	8	10	2	1	9
153	1	1	2	9	10	2	1	10
154	1	1	2	10	10	2	1	11
155	1	1	2	11	10	2	1	12
156	1	1	2	12	10	2	1	13
157	1	1	2	13	10	2	1	14
158	1	1	2	14	10	2	1	15
159	1	1	2	15	10	2	1	16
160	1	1	2	16	10	2	1	17
161	1	1	2	17	10	2	1	18
162	1	1	2	18	10	2	1	19
163	1	1	2	19	10	2	1	20
164	1	1	2	20	10	2	1	21
165	1	1	2	21	10	2	1	22
166	1	1	2	22	10	2	1	23
167	1	1	2	23	10	2	1	24
168	1	1	2	24	10	2	1	25
169	1	1	2	25	10	2	1	26
170	1	1	2	26	10	2	1	27
171	1	1	2	27	10	2	1	28
172	1	1	2	28	10	2	1	29
173	1	1	2	29	10	2	1	30
174	1	1	2	30	10	2	1	31
175	1	1	2	31	10	2	1	32
176	1	1	0	16	10	2	0	1
177	1	1	0	17	10	2	0	2
178	1	1	0	18	10	2	0	3
179	1	1	0	19	10	2	0	4
180	1	1	2	32	11	3	1	1
181	1	1	2	33	11	3	1	2
182	1	1	2	34	11	3	1	3
183	1	1	2	35	11	3	1	4
184	1	1	2	36	11	3	1	5
185	1	1	2	37	11	3	1	6
186	1	1	2	38	11	3	1	7
187	1	1	2	39	11	3	1	8
188	1	1	2	40	11	3	1	9
189	1	1	2	41	11	3	1	10
190	1	1	2	42	11	3	1	11
191	1	1	2	43	11	3	1	12
192	1	1	2	44	11	3	1	13
193	1	1	2	45	11	3	1	14
194	1	1	2	46	11	3	1	15
195	1	1	2	47	11	3	1	16
196	1	1	2	48	11	3	1	17
197	1	1	2	49	11	3	1	18
198	1	1	2	50	11	3	1	19
199	1	1	2	51	11	3	1	20
200	1	1	2	52	11	3	1	21
201	1	1	2	53	11	3	1	22
202	1	1	2	54	11	3	1	23
203	1	1	2	55	11	3	1	24
204	1	1	2	56	11	3	1	25
