det_group	det_idx	det_type	det_number	ring_number	ring_type	ring_radius	ring_z	det_r	det_z	phi_number	mg	slot	zap	pin	asad	cobo
0	0	BB10	0	1	Free	0.0	0.0	0	0	0	0	A	0	PIN1_1	0	0
0	1	BB10	0	1	Free	0.0	0.0	0	0	1	0	B	0	PIN1_1	0	0
0	2	BB10	0	1	Free	0.0	0.0	0	0	2	0	C	0	PIN1_1	0	0
0	3	BB10	0	1	Free	0.0	0.0	0	0	3	0	D	0	PIN1_1	0	0
0	4	BB10	0	1	Free	0.0	0.0	0	0	4	1	A	0	PIN1_2	0	0
0	5	BB10	0	1	Free	0.0	0.0	0	0	5	1	B	0	PIN1_2	0	0
0	6	BB10	0	1	Free	0.0	0.0	0	0	6	1	C	0	PIN1_2	0	0
0	7	BB10	0	1	Free	0.0	0.0	0	0	7	1	D	0	PIN1_2	0	0
1	8	X6	0	1	Free	0.0	0.0	0	0	0	0	A	0	PIN1	1	0
1	9	X6	0	1	Free	0.0	0.0	0	0	1	0	B	0	PIN1	1	0
1	10	X6	0	1	Free	0.0	0.0	0	0	2	0	C	0	PIN1	1	0
1	11	X6	0	1	Free	0.0	0.0	0	0	3	0	D	0	PIN1	1	0
1	12	X6	0	1	Free	0.0	0.0	0	0	4	1	A	0	PIN2	1	0
1	13	X6	0	1	Free	0.0	0.0	0	0	5	1	B	0	PIN2	1	0
1	14	X6	0	1	Free	0.0	0.0	0	0	6	1	C	0	PIN2	1	0
1	15	X6	0	1	Free	0.0	0.0	0	0	7	1	D	0	PIN2	1	0
2	16	QQQ5	0	1	Free	0.0	0.0	0	0	0	0	A	1	PIN1	2	0
2	17	QQQ5	0	1	Free	0.0	0.0	0	0	1	0	B	1	PIN1	2	0
2	18	QQQ5	0	1	Free	0.0	0.0	0	0	2	1	A	1	PIN2	2	0
2	19	QQQ5	0	1	Free	0.0	0.0	0	0	3	1	B	1	PIN2	2	0
