channel mapping
ch_idx	cobo	asad	aget	ch	det_idx	phi_number	side	strip
0	0	0	3	0	0	0	1	1
1	0	0	3	1	0	0	1	2
2	0	0	3	2	0	0	1	3
3	0	0	3	3	0	0	1	4
4	0	0	3	4	0	0	1	5
5	0	0	3	5	0	0	1	6
6	0	0	3	6	0	0	1	7
7	0	0	3	7	0	0	1	8
8	0	0	0	0	0	0	0	1
9	0	0	3	8	1	1	1	1
10	0	0	3	9	1	1	1	2
11	0	0	3	10	1	1	1	3
12	0	0	3	11	1	1	1	4
13	0	0	3	12	1	1	1	5
14	0	0	3	13	1	1	1	6
15	0	0	3	14	1	1	1	7
16	0	0	3	15	1	1	1	8
17	0	0	0	1	1	1	0	1
18	0	0	3	16	2	2	1	1
19	0	0	3	17	2	2	1	2
20	0	0	3	18	2	2	1	3
21	0	0	3	19	2	2	1	4
22	0	0	3	20	2	2	1	5
23	0	0	3	21	2	2	1	6
24	0	0	3	22	2	2	1	7
25	0	0	3	23	2	2	1	8
26	0	0	0	2	2	2	0	1
27	0	0	3	24	3	3	1	1
28	0	0	3	25	3	3	1	2
29	0	0	3	26	3	3	1	3
30	0	0	3	27	3	3	1	4
31	0	0	3	28	3	3	1	5
32	0	0	3	29	3	3	1	6
33	0	0	3	30	3	3	1	7
34	0	0	3	31	3	3	1	8
35	0	0	0	3	3	3	0	1
36	0	0	3	32	4	4	1	1
37	0	0	3	33	4	4	1	2
38	0	0	3	34	4	4	1	3
39	0	0	3	35	4	4	1	4
40	0	0	3	36	4	4	1	5
41	0	0	3	37	4	4	1	6
42	0	0	3	38	4	4	1	7
43	0	0	3	39	4	4	1	8
44	0	0	0	4	4	4	0	1
45	0	0	3	40	5	5	1	1
46	0	0	3	41	5	5	1	2
47	0	0	3	42	5	5	1	3
48	0	0	3	43	5	5	1	4
49	0	0	3	44	5	5	1	5
50	0	0	3	45	5	5	1	6
51	0	0	3	46	5	5	1	7
52	0	0	3	47	5	5	1	8
53	0	0	0	5	5	5	0	1
54	0	0	3	48	6	6	1	1
55	0	0	3	49	6	6	1	2
56	0	0	3	50	6	6	1	3
57	0	0	3	51	6	6	1	4
58	0	0	3	52	6	6	1	5
59	0	0	3	53	6	6	1	6
60	0	0	3	54	6	6	1	7
61	0	0	3	55	6	6	1	8
62	0	0	0	6	6	6	0	1
63	0	0	3	56	7	7	1	1
64	0	0	3	57	7	7	1	2
65	0	0	3	58	7	7	1	3
66	0	0	3	59	7	7	1	4
67	0	0	3	60	7	7	1	5
68	0	0	3	61	7	7	1	6
69	0	0	3	62	7	7	1	7
70	0	0	3	63	7	7	1	8
71	0	0	0	7	7	7	0	1
72	0	1	3	0	8	0	1	1
73	0	1	3	1	8	0	1	2
74	0	1	3	2	8	0	1	3
75	0	1	3	3	8	0	1	4
76	0	1	3	4	8	0	1	5
77	0	1	3	5	8	0	1	6
78	0	1	3	6	8	0	1	7
79	0	1	3	7	8	0	1	8
80	0	1	3	8	8	0	1	9
81	0	1	3	9	8	0	1	10
82	0	1	3	10	8	0	1	11
83	0	1	3	11	8	0	1	12
84	0	1	3	12	8	0	1	13
85	0	1	3	13	8	0	1	14
86	0	1	3	14	8	0	1	15
87	0	1	3	15	8	0	1	16
88	0	1	0	0	8	0	0	1
89	0	1	0	1	8	0	0	2
90	0	1	0	2	8	0	0	3
91	0	1	0	3	8	0	0	4
92	0	1	3	16	9	1	1	1
93	0	1	3	17	9	1	1	2
94	0	1	3	18	9	1	1	3
95	0	1	3	19	9	1	1	4
96	0	1	3	20	9	1	1	5
97	0	1	3	21	9	1	1	6
98	0	1	3	22	9	1	1	7
99	0	1	3	23	9	1	1	8
100	0	1	3	24	9	1	1	9
101	0	1	3	25	9	1	1	10
102	0	1	3	26	9	1	1	11
103	0	1	3	27	9	1	1	12
104	0	1	3	28	9	1	1	13
105	0	1	3	29	9	1	1	14
106	0	1	3	30	9	1	1	15
107	0	1	3	31	9	1	1	16
108	0	1	0	4	9	1	0	1
109	0	1	0	5	9	1	0	2
110	0	1	0	6	9	1	0	3
111	0	1	0	7	9	1	0	4
112	0	1	3	32	10	2	1	1
113	0	1	3	33	10	2	1	2
114	0	1	3	34	10	2	1	3
115	0	1	3	35	10	2	1	4
116	0	1	3	36	10	2	1	5
117	0	1	3	37	10	2	1	6
118	0	1	3	38	10	2	1	7
119	0	1	3	39	10	2	1	8
120	0	1	3	40	10	2	1	9
121	0	1	3	41	10	2	1	10
122	0	1	3	42	10	2	1	11
123	0	1	3	43	10	2	1	12
124	0	1	3	44	10	2	1	13
125	0	1	3	45	10	2	1	14
126	0	1	3	46	10	2	1	15
127	0	1	3	47	10	2	1	16
128	0	1	0	8	10	2	0	1
129	0	1	0	9	10	2	0	2
130	0	1	0	10	10	2	0	3
131	0	1	0	11	10	2	0	4
132	0	1	3	48	11	3	1	1
133	0	1	3	49	11	3	1	2
134	0	1	3	50	11	3	1	3
135	0	1	3	51	11	3	1	4
136	0	1	3	52	11	3	1	5
137	0	1	3	53	11	3	1	6
138	0	1	3	54	11	3	1	7
139	0	1	3	55	11	3	1	8
140	0	1	3	56	11	3	1	9
141	0	1	3	57	11	3	1	10
