det_group	det_idx	det_type	det_number	ring_number	ring_type	ring_radius	ring_z	det_r	det_z	phi_number	mg	slot	zap	pin	asad	cobo
0	0	X6	0	1	Free	0.0	0.0	0	0	0	0	A	0	PIN1	0	0
0	1	X6	0	1	Free	0.0	0.0	0	0	1	0	B	0	PIN1	0	0
0	2	X6	0	1	Free	0.0	0.0	0	0	2	0	C	0	PIN1	0	0
0	3	X6	0	1	Free	0.0	0.0	0	0	3	0	D	0	PIN1	0	0
0	4	X6	0	1	Free	0.0	0.0	0	0	4	1	A	0	PIN2	0	0
0	5	X6	0	1	Free	0.0	0.0	0	0	5	1	B	0	PIN2	0	0
0	6	X6	0	1	Free	0.0	0.0	0	0	6	1	C	0	PIN2	0	0
0	7	X6	0	1	Free	0.0	0.0	0	0	7	1	D	0	PIN2	0	0
0	8	X6	0	1	Free	0.0	0.0	0	0	8	2	A	0	PIN3	0	0
0	9	X6	0	1	Free	0.0	0.0	0	0	9	2	B	0	PIN3	0	0
0	10	X6	0	1	Free	0.0	0.0	0	0	10	2	C	0	PIN3	0	0
0	11	X6	0	1	Free	0.0	0.0	0	0	11	2	D	0	PIN3	0	0
