channel mapping
ch_idx	cobo	asad	aget	ch	det_idx	phi_number	side	strip
0	0	0	3	0	0	0	1	1
1	0	0	3	1	0	0	1	2
2	0	0	3	2	0	0	1	3
3	0	0	3	3	0	0	1	4
4	0	0	3	4	0	0	1	5
5	0	0	3	5	0	0	1	6
6	0	0	3	6	0	0	1	7
7	0	0	3	7	0	0	1	8
8	0	0	3	8	0	0	1	9
9	0	0	3	9	0	0	1	10
10	0	0	3	10	0	0	1	11
11	0	0	3	11	0	0	1	12
12	0	0	3	12	0	0	1	13
13	0	0	3	13	0	0	1	14
14	0	0	3	14	0	0	1	15
15	0	0	3	15	0	0	1	16
16	0	0	0	0	0	0	0	1
17	0	0	0	1	0	0	0	2
18	0	0	0	2	0	0	0	3
19	0	0	0	3	0	0	0	4
20	0	0	3	16	1	1	1	1
21	0	0	3	17	1	1	1	2
22	0	0	3	18	1	1	1	3
23	0	0	3	19	1	1	1	4
24	0	0	3	20	1	1	1	5
25	0	0	3	21	1	1	1	6
26	0	0	3	22	1	1	1	7
27	0	0	3	23	1	1	1	8
28	0	0	3	24	1	1	1	9
29	0	0	3	25	1	1	1	10
30	0	0	3	26	1	1	1	11
31	0	0	3	27	1	1	1	12
32	0	0	3	28	1	1	1	13
33	0	0	3	29	1	1	1	14
34	0	0	3	30	1	1	1	15
35	0	0	3	31	1	1	1	16
36	0	0	0	4	1	1	0	1
37	0	0	0	5	1	1	0	2
38	0	0	0	6	1	1	0	3
39	0	0	0	7	1	1	0	4
40	0	0	3	32	2	2	1	1
41	0	0	3	33	2	2	1	2
42	0	0	3	34	2	2	1	3
43	0	0	3	35	2	2	1	4
44	0	0	3	36	2	2	1	5
45	0	0	3	37	2	2	1	6
46	0	0	3	38	2	2	1	7
47	0	0	3	39	2	2	1	8
48	0	0	3	40	2	2	1	9
49	0	0	3	41	2	2	1	10
50	0	0	3	42	2	2	1	11
51	0	0	3	43	2	2	1	12
52	0	0	3	44	2	2	1	13
53	0	0	3	45	2	2	1	14
54	0	0	3	46	2	2	1	15
55	0	0	3	47	2	2	1	16
56	0	0	0	8	2	2	0	1
57	0	0	0	9	2	2	0	2
58	0	0	0	10	2	2	0	3
59	0	0	0	11	2	2	0	4
60	0	0	3	48	3	3	1	1
61	0	0	3	49	3	3	1	2
62	0	0	3	50	3	3	1	3
63	0	0	3	51	3	3	1	4
64	0	0	3	52	3	3	1	5
65	0	0	3	53	3	3	1	6
66	0	0	3	54	3	3	1	7
67	0	0	3	55	3	3	1	8
68	0	0	3	56	3	3	1	9
69	0	0	3	57	3	3	1	10
70	0	0	3	58	3	3	1	11
71	0	0	3	59	3	3	1	12
72	0	0	3	60	3	3	1	13
73	0	0	3	61	3	3	1	14
74	0	0	3	62	3	3	1	15
75	0	0	3	63	3	3	1	16
76	0	0	0	12	3	3	0	1
77	0	0	0	13	3	3	0	2
78	0	0	0	14	3	3	0	3
79	0	0	0	15	3	3	0	4
80	0	0	2	0	4	4	1	1
81	0	0	2	1	4	4	1	2
82	0	0	2	2	4	4	1	3
83	0	0	2	3	4	4	1	4
84	0	0	2	4	4	4	1	5
85	0	0	2	5	4	4	1	6
86	0	0	2	6	4	4	1	7
87	0	0	2	7	4	4	1	8
88	0	0	2	8	4	4	1	9
89	0	0	2	9	4	4	1	10
90	0	0	2	10	4	4	1	11
91	0	0	2	11	4	4	1	12
92	0	0	2	12	4	4	1	13
93	0	0	2	13	4	4	1	14
94	0	0	2	14	4	4	1	15
95	0	0	2	15	4	4	1	16
96	0	0	0	16	4	4	0	1
97	0	0	0	17	4	4	0	2
98	0	0	0	18	4	4	0	3
99	0	0	0	19	4	4	0	4
100	0	0	2	16	5	5	1	1
101	0	0	2	17	5	5	1	2
102	0	0	2	18	5	5	1	3
103	0	0	2	19	5	5	1	4
104	0	0	2	20	5	5	1	5
105	0	0	2	21	5	5	1	6
106	0	0	2	22	5	5	1	7
107	0	0	2	23	5	5	1	8
108	0	0	2	24	5	5	1	9
109	0	0	2	25	5	5	1	10
110	0	0	2	26	5	5	1	11
111	0	0	2	27	5	5	1	12
112	0	0	2	28	5	5	1	13
113	0	0	2	29	5	5	1	14
114	0	0	2	30	5	5	1	15
115	0	0	2	31	5	5	1	16
116	0	0	0	20	5	5	0	1
117	0	0	0	21	5	5	0	2
118	0	0	0	22	5	5	0	3
119	0	0	0	23	5	5	0	4
120	0	0	2	32	6	6	1	1
121	0	0	2	33	6	6	1	2
122	0	0	2	34	6	6	1	3
123	0	0	2	35	6	6	1	4
124	0	0	2	36	6	6	1	5
125	0	0	2	37	6	6	1	6
126	0	0	2	38	6	6	1	7
127	0	0	2	39	6	6	1	8
128	0	0	2	40	6	6	1	9
129	0	0	2	41	6	6	1	10
130	0	0	2	42	6	6	1	11
131	0	0	2	43	6	6	1	12
132	0	0	2	44	6	6	1	13
133	0	0	2	45	6	6	1	14
134	0	0	2	46	6	6	1	15
135	0	0	2	47	6	6	1	16
136	0	0	0	24	6	6	0	1
137	0	0	0	25	6	6	0	2
138	0	0	0	26	6	6	0	3
139	0	0	0	27	6	6	0	4
140	0	0	2	48	7	7	1	1
141	0	0	2	49	7	7	1	2
