detector mapping
det_type	det_idx	det_number	det_thickness	det_width	det_height	ring_number	ring_type	ring_radius	ring_z	dEE	phi_number	phi	phi1	phi2
X6	0	0	0	0	0	1	Free	0.0	0.0	E	0	0.00000000	-10.00000000	10.00000000
X6	1	0	0	0	0	1	Free	0.0	0.0	E	1	0.00000000	-10.00000000	10.00000000
X6	2	0	0	0	0	1	Free	0.0	0.0	E	2	0.00000000	-10.00000000	10.00000000
X6	3	0	0	0	0	1	Free	0.0	0.0	E	3	0.00000000	-10.00000000	10.00000000
X6	4	0	0	0	0	1	Free	0.0	0.0	E	4	0.00000000	-10.00000000	10.00000000
X6	5	0	0	0	0	1	Free	0.0	0.0	E	5	0.00000000	-10.00000000	10.00000000
X6	6	0	0	0	0	1	Free	0.0	0.0	E	6	0.00000000	-10.00000000	10.00000000
X6	7	0	0	0	0	1	Free	0.0	0.0	E	7	0.00000000	-10.00000000	10.00000000
X6	8	0	0	0	0	1	Free	0.0	0.0	E	8	0.00000000	-10.00000000	10.00000000
X6	9	0	0	0	0	1	Free	0.0	0.0	E	9	0.00000000	-10.00000000	10.00000000
X6	10	0	0	0	0	1	Free	0.0	0.0	E	10	0.00000000	-10.00000000	10.00000000
X6	11	0	0	0	0	1	Free	0.0	0.0	E	11	0.00000000	-10.00000000	10.00000000
