# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 37.71561039 5.486432314 0.1103078562 2233.785176
1 0 1 38.73779652 5.486441813 0.1045181845 2259.516834
1 0 2 32.29281247 5.487797457 0.1354433011 2061.287308
1 0 3 39.40707303 5.486092006 0.1047381376 2227.575976
1 0 4 35.3985038 5.484842573 0.1236235599 2203.82265
1 0 5 33.4982096 5.489165099 0.1287056108 2158.125408
1 0 6 42.11489234 5.486512896 0.1016520617 2274.203658
1 0 7 40.87884963 5.487100214 0.1030476828 2224.240222
1 1 0 85.55457766 5.48658921 0.4172510496 902.3297599
2 0 0 46.46612471 5.486739876 0.1092082208 2305.796996
2 0 1 42.11188154 5.487895392 0.1266214638 2222.794909
2 0 2 54.49742428 5.486145415 0.09844622262 2267.607158
2 0 3 47.46404507 5.48682073 0.110126803 2222.543767
2 0 4 60.98504992 5.485316314 0.09334078801 2281.163393
2 0 5 53.13120181 5.48507276 0.1034925029 2258.245585
2 0 6 53.02181152 5.484947726 0.1004597041 2331.923653
2 0 7 46.18776837 5.486720673 0.1152617488 2237.650782
2 1 0 108.2633993 5.487895535 0.4216194063 965.3968307
3 0 0 36.02630662 5.486169112 0.1119129067 2272.904088
3 0 1 40.0962959 5.486879431 0.09877952895 2307.297154
3 0 2 33.29609944 5.48475913 0.1127602742 2222.365292
3 0 3 36.77030782 5.487389765 0.117440361 2257.734929
3 0 4 32.82521923 5.487155909 0.1111591738 2253.885169
3 0 5 39.34027884 5.485636748 0.1086668134 2239.291413
3 0 6 37.56813475 5.484973839 0.1105541056 2274.914205
3 0 7 13.11373311 5.491847732 0.2903960909 2364.675402
3 1 0 81.44855368 5.488391403 0.4197240873 927.1216812
4 0 0 32.67107866 5.488771744 0.1165137816 2281.255298
4 0 1 39.44949498 5.488777439 0.1157964205 2129.1517
4 0 2 40.85721433 5.485788443 0.1062492666 2318.114269
4 0 3 40.23880955 5.487986001 0.10541232 2163.46163
4 0 4 37.11227011 5.484928742 0.1162026193 2214.917879
4 0 5 32.72462183 5.489512571 0.1205950264 2276.750121
4 0 6 38.79809579 5.486644819 0.1047462736 2356.316979
4 0 7 30.33810513 5.484883765 0.1298301079 2227.023401
4 1 0 81.36791569 5.479318893 0.4492749048 917.4660005
5 0 0 47.18432068 5.487098597 0.104010303 2195.155952
5 0 1 41.18623735 5.485630439 0.1269163703 2303.806468
5 0 2 51.07753481 5.486088875 0.105314969 2272.827407
5 0 3 49.35108147 5.485550946 0.1080346737 2257.566197
5 0 4 53.07545047 5.484589735 0.1003924417 2202.428372
5 0 5 43.19585291 5.486774175 0.1220317644 2181.872058
5 0 6 48.00486796 5.486743889 0.1060728548 2195.785925
5 0 7 45.83316847 5.486964668 0.11295918 2172.947911
5 1 0 105.4654205 5.485788528 0.4208961327 920.7937527
6 0 0 54.32585848 5.486410198 0.09699298997 2388.157427
6 0 1 57.31127494 5.487461567 0.09401082769 2370.151011
6 0 2 54.65133078 5.487464556 0.09459093227 2298.07976
6 0 3 55.44857748 5.487145413 0.09704624164 2274.000874
6 0 4 58.44199384 5.486829095 0.09594897088 2304.514567
6 0 5 54.53071414 5.486465474 0.09479174444 2402.273862
6 0 6 47.49111015 5.487532032 0.103407495 2295.419134
6 0 7 43.74306245 5.484851153 0.1054501775 2212.793377
6 1 0 125.6988173 5.488883034 0.3421736417 955.3721725
7 0 0 40.60129688 5.485091991 0.1285587165 2153.43508
7 0 1 48.12779971 5.487788597 0.1078637045 2260.751834
7 0 2 47.32671659 5.48627773 0.1135526739 2309.770451
7 0 3 46.74008468 5.48627414 0.1026796426 2310.524833
7 0 4 53.39335138 5.487040728 0.09775790825 2315.445426
7 0 5 41.43302621 5.48731137 0.1180577772 2268.074028
7 0 6 49.20787374 5.486884544 0.1008872379 2289.262187
7 0 7 42.15972954 5.488288118 0.111488374 2233.373612
7 1 0 110.8185215 5.485463239 0.3779176998 962.8883061
8 0 0 35.31430502 5.488525968 0.1086647792 2300.127063
8 0 1 39.95615338 5.485218728 0.1002061451 2242.437673
8 0 2 42.05756765 5.4870844 0.09948349296 2148.744774
8 0 3 37.00941877 5.486110585 0.1164821849 2088.917104
8 0 4 35.63601911 5.4848138 0.1173890528 2217.747414
8 0 5 31.94574739 5.487961416 0.1060145993 2138.393669
8 0 6 37.80052958 5.487170555 0.1114892921 2358.444784
8 0 7 37.06717084 5.485896652 0.106668005 2192.286798
8 1 0 88.41894715 5.482967484 0.3960136851 896.7516955
