# det_number side channel corrected_fit_amp corrected_fit_energy corrected_fit_fwhm raw_fit_mean
1 0 0 10.39206365 3.173252735 0.1477324421 1556.179517
1 0 1 21.49110478 3.180271525 0.06758695178 1525.427726
1 0 2 23.79837742 3.183281087 0.08378166328 1581.746839
1 0 3 27.21517269 3.182879912 0.08134509719 1479.232447
1 0 4 30.8029902 3.181709962 0.08164006926 1540.810704
1 0 5 33.19603867 3.182406454 0.07592175378 1582.650361
1 0 6 38.8887854 3.182658572 0.06460122283 1556.806104
1 0 7 39.22663814 3.183494503 0.07626571011 1465.801976
1 0 8 35.81703978 3.178837247 0.08816555435 1529.64822
1 0 9 42.57812808 3.182899014 0.07098524252 1618.22873
1 0 10 52.63317556 3.182627309 0.07033671493 1607.32499
1 0 11 54.29930136 3.181796149 0.06534925946 1549.168737
1 0 12 62.11538062 3.182504926 0.06225866442 1619.837478
1 0 13 69.92414177 3.182694627 0.06099697001 1611.548623
1 0 14 76.80452684 3.182342846 0.0596262621 1618.287432
1 0 15 68.39811306 3.181525896 0.06671385917 1541.980865
1 0 16 82.05975791 3.183369042 0.06472025226 1635.462005
1 0 17 75.63132979 3.181898624 0.06698295196 1598.846315
1 0 18 97.37648376 3.181808551 0.05967131461 1590.543894
1 0 19 83.92113235 3.182052792 0.06723175149 1550.707763
1 0 20 94.28860549 3.182502992 0.06499705482 1627.240052
1 0 21 93.66810196 3.181332663 0.0625851137 1647.488866
1 0 22 110.8184857 3.181672647 0.06286694446 1620.727147
1 0 23 95.3464357 3.181460747 0.0688647729 1477.867514
1 0 24 121.5431428 3.182647996 0.05900411519 1639.93942
1 0 25 127.6487228 3.182093475 0.06216090139 1636.14577
1 0 26 140.0439113 3.181913243 0.05825861172 1597.755108
1 0 27 136.7030118 3.181808893 0.06271474538 1477.319301
1 0 28 146.2308812 3.182306906 0.05720488337 1608.517578
1 0 29 130.8414778 3.18226034 0.05510137909 1619.300333
1 0 30 136.7632606 3.182862734 0.05948050494 1663.373768
1 0 31 104.6012763 3.181917458 0.06871444503 1500.08033
1 1 0 391.2063871 3.181858524 0.1142059501 1397.667805
1 1 1 263.3436739 3.181937052 0.1122888591 1362.25036
1 1 2 517.8942469 3.181973763 0.1190263003 1370.394435
1 1 3 374.5493912 3.1812219 0.1188166658 1401.160623
2 0 0 14.27582018 3.184906604 0.1232115185 1467.981369
2 0 1 31.71579716 3.181531214 0.06920245086 1593.759988
