um energy_remaining energy_loss mg_per_cm2
0.6 3.203404 0.067596 0.063600
0.8 3.180634 0.090366 0.084800
1.0 3.157741 0.113259 0.106000
1.2 3.134724 0.136276 0.127200
1.4 3.111579 0.159421 0.148400
1.6 3.088304 0.182696 0.169600
1.8 3.064898 0.206102 0.190800
2.0 3.041358 0.229642 0.212000
2.2 3.017681 0.253319 0.233200
2.4 2.993865 0.277135 0.254400
2.6 2.969907 0.301093 0.275600
2.8 2.945806 0.325194 0.296800
3.0 2.921557 0.349443 0.318000
3.2 2.897158 0.373842 0.339200
3.4 2.872606 0.398394 0.360400
3.6 2.847897 0.423103 0.381600
3.8 2.823028 0.447972 0.402800
4.0 2.797994 0.473006 0.424000
4.2 2.772792 0.498208 0.445200
4.4 2.747417 0.523583 0.466400
4.6 2.721864 0.549136 0.487600
4.8 2.696128 0.574872 0.508800
5.0 2.670203 0.600797 0.530000
5.2 2.644085 0.626915 0.551200
5.4 2.617767 0.653233 0.572400
5.6 2.591245 0.679755 0.593600
5.8 2.564512 0.706488 0.614800
6.0 2.537561 0.733439 0.636000
6.2 2.510388 0.760612 0.657200
6.4 2.482986 0.788014 0.678400
6.6 2.455347 0.815653 0.699600
6.8 2.427466 0.843534 0.720800
7.0 2.399334 0.871666 0.742000
7.2 2.370944 0.900056 0.763200
7.4 2.342288 0.928712 0.784400
7.6 2.313356 0.957644 0.805600
7.8 2.284139 0.986861 0.826800
8.0 2.254626 1.016374 0.848000
8.2 2.224807 1.046193 0.869200
8.4 2.194670 1.076330 0.890400
8.6 2.164201 1.106799 0.911600
8.8 2.133388 1.137612 0.932800
9.0 2.102217 1.168783 0.954000
9.2 2.070672 1.200328 0.975200
9.4 2.038738 1.232262 0.996400
9.6 2.006399 1.264601 1.017600
9.8 1.973635 1.297365 1.038800
10.0 1.940429 1.330571 1.060000
